symbol,name,nameUpperCase
FMBM,F&M; Bank Corp.,F&M; BANK CORP.
TBBK,The Bancorp Inc.,THE BANCORP INC.
SBNY,Signature Bank,SIGNATURE BANK
ABTO,AB&T; Financial Corp.,AB&T; FINANCIAL CORP.
DNBF,DNB Financial Corp.,DNB FINANCIAL CORP.
SNV,Synovus Financial Corporation,SYNOVUS FINANCIAL CORPORATION
SVBI,Severn Bancorp Inc.,SEVERN BANCORP INC.
PKWY,Parkway Bank,PARKWAY BANK
SUSQ,"Susquehanna Bancshares, Inc.","SUSQUEHANNA BANCSHARES, INC."
UBSI,United Bankshares Inc.,UNITED BANKSHARES INC.
MBRG,Middleburg Financial Corporation,MIDDLEBURG FINANCIAL CORPORATION
BAYK,"Bay Banks of Virginia, Inc.","BAY BANKS OF VIRGINIA, INC."
SLCT,"Select Bancorp, Inc.","SELECT BANCORP, INC."
BOTJ,Bank of the James Financial Group Inc.,BANK OF THE JAMES FINANCIAL GROUP INC.
FSRL,First Reliance Bancshares Inc.,FIRST RELIANCE BANCSHARES INC.
PWOD,Penns Woods Bancorp Inc.,PENNS WOODS BANCORP INC.
BMTC,Bryn Mawr Bank Corp.,BRYN MAWR BANK CORP.
EGBN,"Eagle Bancorp, Inc.","EAGLE BANCORP, INC."
SBFC,Southeastern Bank Financial Corporation,SOUTHEASTERN BANK FINANCIAL CORPORATION
FUNC,First United Corporation,FIRST UNITED CORPORATION
ASBB,"ASB Bancorp, Inc.","ASB BANCORP, INC."
CBCO,"Coastal Banking Company, Inc.","COASTAL BANKING COMPANY, INC."
SGB,Southwest Georgia Financial Corp.,SOUTHWEST GEORGIA FINANCIAL CORP.
FNFG,First Niagara Financial Group Inc.,FIRST NIAGARA FINANCIAL GROUP INC.
BVA,Cordia Bancorp Inc.,CORDIA BANCORP INC.
NKSH,National Bankshares Inc.,NATIONAL BANKSHARES INC.
HCFB,HCSB Financial Corp.,HCSB FINANCIAL CORP.
FCNCA,First Citizens Bancshares Inc.,FIRST CITIZENS BANCSHARES INC.
BKSC,The Bank of South Carolina Corporation,THE BANK OF SOUTH CAROLINA CORPORATION
SBCP,"Sunshine Bancorp, Inc.","SUNSHINE BANCORP, INC."
SHBI,"Shore Bancshares, Inc.","SHORE BANCSHARES, INC."
XBKS,"Xenith Bankshares, Inc.","XENITH BANKSHARES, INC."
TOWN,Towne Bank,TOWNE BANK
CZBT,Citizens Bancorp of Virginia Inc.,CITIZENS BANCORP OF VIRGINIA INC.
CART,Carolina Trust Bank,CAROLINA TRUST BANK
OPHC,OptimumBank Holdings Inc.,OPTIMUMBANK HOLDINGS INC.
FWV,First West Virginia Bancorp Inc.,FIRST WEST VIRGINIA BANCORP INC.
CZNC,Citizens & Northern Corp.,CITIZENS & NORTHERN CORP.
FISI,Financial Institutions Inc.,FINANCIAL INSTITUTIONS INC.
HMPR,Hampton Roads Bankshares Inc.,HAMPTON ROADS BANKSHARES INC.
SBCF,Seacoast Banking Corp. of Florida,SEACOAST BANKING CORP. OF FLORIDA
SSB,South State Corporation,SOUTH STATE CORPORATION
YDKN,Yadkin Financial Corporation,YADKIN FINANCIAL CORPORATION
LCNB,LCNB Corp.,LCNB CORP.
SRYB,Surrey Bancorp,SURREY BANCORP
WSFS,WSFS Financial Corp.,WSFS FINANCIAL CORP.
CLBH,Carolina Bank Holdings Inc.,CAROLINA BANK HOLDINGS INC.
HBOS,"Heritage Financial Group, Inc.","HERITAGE FINANCIAL GROUP, INC."
TCFC,The Community Financial Corp.,THE COMMUNITY FINANCIAL CORP.
CARO,Carolina Financial Corporation,CAROLINA FINANCIAL CORPORATION
BKU,"BankUnited, Inc.","BANKUNITED, INC."
MNRK,"Monarch Financial Holdings, Inc.","MONARCH FINANCIAL HOLDINGS, INC."
UBCP,United Bancorp Inc.,UNITED BANCORP INC.
BUSE,First Busey Corporation,FIRST BUSEY CORPORATION
WEIN,"West End Indiana Bancshares, Inc.","WEST END INDIANA BANCSHARES, INC."
HBIA,Hills Bancorp,HILLS BANCORP
CZWI,"Citizens Community Bancorp, Inc.","CITIZENS COMMUNITY BANCORP, INC."
FSFG,"First Savings Financial Group, Inc.","FIRST SAVINGS FINANCIAL GROUP, INC."
SBFG,"SB Financial Group, Inc.","SB FINANCIAL GROUP, INC."
HBAN,Huntington Bancshares Incorporated,HUNTINGTON BANCSHARES INCORPORATED
FFBC,First Financial Bancorp.,FIRST FINANCIAL BANCORP.
FBIZ,"First Business Financial Services, Inc.","FIRST BUSINESS FINANCIAL SERVICES, INC."
WIBC,Wilshire Bancorp Inc.,WILSHIRE BANCORP INC.
HCBN,HCB Financial Corp.,HCB FINANCIAL CORP.
RLBS,Reliance Bancshares Inc.,RELIANCE BANCSHARES INC.
NBHC,National Bank Holdings Corp.,NATIONAL BANK HOLDINGS CORP.
FFWM,First Foundation Inc.,FIRST FOUNDATION INC.
GABC,German American Bancorp Inc.,GERMAN AMERICAN BANCORP INC.
CHFC,Chemical Financial Corporation,CHEMICAL FINANCIAL CORPORATION
FMAO,Farmers and Merchants Bancorp Inc.,FARMERS AND MERCHANTS BANCORP INC.
FITB,Fifth Third Bancorp,FIFTH THIRD BANCORP
STBI,Sturgis Bancorp Inc.,STURGIS BANCORP INC.
DEAR,Dearborn Bancorp Inc.,DEARBORN BANCORP INC.
TFSL,TFS Financial Corp,TFS FINANCIAL CORP
IBCP,Independent Bank Corporation,INDEPENDENT BANK CORPORATION
CBIN,Community Bank Shares of Indiana Inc.,COMMUNITY BANK SHARES OF INDIANA INC.
HLAN,Heartland BancCorp,HEARTLAND BANCCORP
CBU,Community Bank System Inc.,COMMUNITY BANK SYSTEM INC.
TWCF,Town and Country Financial Corp.,TOWN AND COUNTRY FINANCIAL CORP.
RN7.F,REGIONS FINANCIAL,REGIONS FINANCIAL
TAYC,Taylor Capital Group Inc.,TAYLOR CAPITAL GROUP INC.
KEY,KeyCorp.,KEYCORP.
BBBI,Birmingham Bloomfield Bancshares Inc.,BIRMINGHAM BLOOMFIELD BANCSHARES INC.
FNHM,FNBH Bancorp Inc.,FNBH BANCORP INC.
BVBC,Blue Valley Ban Corp.,BLUE VALLEY BAN CORP.
ZB1.F,ZIONS BANCORP,ZIONS BANCORP
MSFG,"MainSource Financial Group, Inc.","MAINSOURCE FINANCIAL GROUP, INC."
OXBC,Oxford Bank Corporation,OXFORD BANK CORPORATION
SRCE,1st Source Corporation,1ST SOURCE CORPORATION
FMBH,First Mid-Illinois Bancshares Inc.,FIRST MID-ILLINOIS BANCSHARES INC.
VNB.F,VALLEY NATL BANCORP,VALLEY NATL BANCORP
PVTB,"PrivateBancorp, Inc.","PRIVATEBANCORP, INC."
WTFC,Wintrust Financial Corporation,WINTRUST FINANCIAL CORPORATION
MBWM,Mercantile Bank Corp.,MERCANTILE BANK CORP.
FFNM,"First Federal of Northern Michigan Bancorp, Inc.","FIRST FEDERAL OF NORTHERN MICHIGAN BANCORP, INC."
THFF,First Financial Corp.,FIRST FINANCIAL CORP.
ONB,Old National Bancorp.,OLD NATIONAL BANCORP.
SOMC,Southern Michigan Bancorp Inc.,SOUTHERN MICHIGAN BANCORP INC.
CNAF,Commercial National Financial Corp.,COMMERCIAL NATIONAL FINANCIAL CORP.
OVBC,Ohio Valley Banc Corp.,OHIO VALLEY BANC CORP.
FMNB,Farmers National Banc Corp.,FARMERS NATIONAL BANC CORP.
BFFI,Ben Franklin Financial Inc.,BEN FRANKLIN FINANCIAL INC.
LNBB,LNB Bancorp Inc.,LNB BANCORP INC.
USB,U.S. Bancorp,U.S. BANCORP
MCBK,"Madison County Financial, Inc.","MADISON COUNTY FINANCIAL, INC."
MBFI,MB Financial Inc.,MB FINANCIAL INC.
YBA.F,BANCORPSOUTH,BANCORPSOUTH
NSFC,Northern States Financial Corporation,NORTHERN STATES FINANCIAL CORPORATION
TFC.F,TCF FINANCIAL,TCF FINANCIAL
CBSH,"Commerce Bancshares, Inc.","COMMERCE BANCSHARES, INC."
PRK,Park National Corp.,PARK NATIONAL CORP.
MCBF,Monarch Community Bancorp Inc.,MONARCH COMMUNITY BANCORP INC.
PEBO,Peoples Bancorp Inc.,PEOPLES BANCORP INC.
CHBH,"Croghan Bancshares, Inc.","CROGHAN BANCSHARES, INC."
MCBC,Macatawa Bank Corp.,MACATAWA BANK CORP.
INBK,First Internet Bancorp,FIRST INTERNET BANCORP
LKFN,Lakeland Financial Corp.,LAKELAND FINANCIAL CORP.
KLIB,Killbuck Bancshares Inc.,KILLBUCK BANCSHARES INC.
OSBC,Old Second Bancorp Inc.,OLD SECOND BANCORP INC.
PNBC,Princeton National Bancorp Inc.,PRINCETON NATIONAL BANCORP INC.
FRME,First Merchants Corporation,FIRST MERCHANTS CORPORATION
FMBI,First Midwest Bancorp Inc.,FIRST MIDWEST BANCORP INC.
ASBC,Associated Banc-Corp,ASSOCIATED BANC-CORP
OTTW,"Ottawa Savings Bancorp, Inc.","OTTAWA SAVINGS BANCORP, INC."
QRRY,Quarry City Savings & Loan Association,QUARRY CITY SAVINGS & LOAN ASSOCIATION
MFSF,Mutualfirst Financial Inc.,MUTUALFIRST FINANCIAL INC.
ZB1.SG,ZIONS BANCORP,ZIONS BANCORP
FLIC,The First of Long Island Corporation,THE FIRST OF LONG ISLAND CORPORATION
FKYS,First Keystone Corporation,FIRST KEYSTONE CORPORATION
RBPAA,Royal Bancshares of Pennsylvania Inc.,ROYAL BANCSHARES OF PENNSYLVANIA INC.
ORRF,Orrstown Financial Services Inc.,ORRSTOWN FINANCIAL SERVICES INC.
CUBI,"Customers Bancorp, Inc.","CUSTOMERS BANCORP, INC."
FRBK,Republic First Bancorp Inc.,REPUBLIC FIRST BANCORP INC.
UVSP,Univest Corporation of Pennsylvania,UNIVEST CORPORATION OF PENNSYLVANIA
PKBK,Parke Bancorp Inc.,PARKE BANCORP INC.
METR,"Metro Bancorp, Inc.","METRO BANCORP, INC."
WBS,Webster Financial Corp.,WEBSTER FINANCIAL CORP.
FNLC,"The First Bancorp, Inc.","THE FIRST BANCORP, INC."
ENBP,ENB Financial Corp.,ENB FINANCIAL CORP.
EMCF,Emclaire Financial Corp.,EMCLAIRE FINANCIAL CORP.
ORPB,Oregon Pacific Bancorp,OREGON PACIFIC BANCORP
HTBI,"HomeTrust Bancshares, Inc.","HOMETRUST BANCSHARES, INC."
QNBC,QNB Corp.,QNB CORP.
HARL,Harleysville Savings Financial Corporation,HARLEYSVILLE SAVINGS FINANCIAL CORPORATION
SNBC,Sun Bancorp Inc.,SUN BANCORP INC.
MPB,Mid Penn Bancorp Inc.,MID PENN BANCORP INC.
OSHC,Ocean Shore Holding Co.,OCEAN SHORE HOLDING CO.
UNB,"Union Bankshares, Inc.","UNION BANKSHARES, INC."
HBNK,"Hampden Bancorp, Inc.","HAMPDEN BANCORP, INC."
BDGE,"Bridge Bancorp, Inc.","BRIDGE BANCORP, INC."
EMPK,Empire Bancorp Inc. (NY),EMPIRE BANCORP INC. (NY)
JFBC,Jeffersonville Bancorp,JEFFERSONVILLE BANCORP
SSFN,Stewardship Financial Corp.,STEWARDSHIP FINANCIAL CORP.
PFBX,Peoples Financial Corporation,PEOPLES FINANCIAL CORPORATION
CBFV,"CB Financial Services, Inc.","CB FINANCIAL SERVICES, INC."
TMP,Tompkins Financial Corporation,TOMPKINS FINANCIAL CORPORATION
MTB,M&T; Bank Corporation,M&T; BANK CORPORATION
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)","NORTHFIELD BANCORP, INC. (STATEN ISLAND, NY)"
NBN,Northeast Bancorp,NORTHEAST BANCORP
CBNY,Community National Bank,COMMUNITY NATIONAL BANK
AVLY,Allegheny Valley Bancorp Inc.,ALLEGHENY VALLEY BANCORP INC.
STBA,S&T; Bancorp Inc.,S&T; BANCORP INC.
ESBK,Elmira Savings Bank,ELMIRA SAVINGS BANK
JUVF,Juniata Valley Financial Corp.,JUNIATA VALLEY FINANCIAL CORP.
CNBKA,Century Bancorp Inc.,CENTURY BANCORP INC.
CNOB,"ConnectOne Bancorp, Inc.","CONNECTONE BANCORP, INC."
ORIT,Oritani Financial Corp.,ORITANI FINANCIAL CORP.
STND,Standard Financial Corp.,STANDARD FINANCIAL CORP.
NWFL,Norwood Financial Corp.,NORWOOD FINANCIAL CORP.
BCBP,BCB Bancorp Inc.,BCB BANCORP INC.
VLY,Valley National Bancorp,VALLEY NATIONAL BANCORP
LBAI,Lakeland Bancorp Inc.,LAKELAND BANCORP INC.
COBK,"Colonial Financial Services, Inc.","COLONIAL FINANCIAL SERVICES, INC."
VSBN,"VSB Bancorp, Inc.","VSB BANCORP, INC."
WFD,Westfield Financial Inc.,WESTFIELD FINANCIAL INC.
SAL,Salisbury Bancorp Inc.,SALISBURY BANCORP INC.
HBNC,Horizon Bancorp,HORIZON BANCORP
CAC,Camden National Corp.,CAMDEN NATIONAL CORP.
BNCL,Beneficial Mutual Bancorp Inc.,BENEFICIAL MUTUAL BANCORP INC.
BHB,Bar Harbor Bankshares,BAR HARBOR BANKSHARES
CFIC,Cornerstone Financial Corporation,CORNERSTONE FINANCIAL CORPORATION
ASRV,"AmeriServ Financial, Inc.","AMERISERV FINANCIAL, INC."
CMTB,"Community Bank of Bergen County, NJ","COMMUNITY BANK OF BERGEN COUNTY, NJ"
BPFH,"Boston Private Financial Holdings, Inc.","BOSTON PRIVATE FINANCIAL HOLDINGS, INC."
CVLY,Codorus Valley Bancorp Inc.,CODORUS VALLEY BANCORP INC.
CBNJ,"Cape Bancorp, Inc.","CAPE BANCORP, INC."
WEBK,"Wellesley Bancorp, Inc.","WELLESLEY BANCORP, INC."
KTHN,Katahdin Bankshares Corp.,KATAHDIN BANKSHARES CORP.
FULT,Fulton Financial Corporation,FULTON FINANCIAL CORPORATION
WMPN,"William Penn Bancorp, Inc.","WILLIAM PENN BANCORP, INC."
PEOP,"Peoples Federal Bancshares, Inc.","PEOPLES FEDERAL BANCSHARES, INC."
NBTB,"NBT Bancorp, Inc.","NBT BANCORP, INC."
AROW,Arrow Financial Corporation,ARROW FINANCIAL CORPORATION
MBTF,MBT Financial Corp.,MBT FINANCIAL CORP.
INDB,Independent Bank Corp.,INDEPENDENT BANK CORP.
HWBK,"Hawthorn Bancshares, Inc.","HAWTHORN BANCSHARES, INC."
QNTO,Quaint Oak Bancorp Inc,QUAINT OAK BANCORP INC
PGC,Peapack-Gladstone Financial Corp.,PEAPACK-GLADSTONE FINANCIAL CORP.
LYBC,"Lyons Bancorp, Inc.","LYONS BANCORP, INC."
WASH,Washington Trust Bancorp Inc.,WASHINGTON TRUST BANCORP INC.
PNBK,Patriot National Bancorp Inc.,PATRIOT NATIONAL BANCORP INC.
FCCY,1st Constitution Bancorp,1ST CONSTITUTION BANCORP
MELR,"Melrose Bancorp, Inc.","MELROSE BANCORP, INC."
BWFG,"Bankwell Financial Group, Inc.","BANKWELL FINANCIAL GROUP, INC."
PTBS,Potomac Bancshares Inc.,POTOMAC BANCSHARES INC.
TRST,TrustCo Bank Corp. NY,TRUSTCO BANK CORP. NY
CCNE,CNB Financial Corp.,CNB FINANCIAL CORP.
HSBK,"Highlands Bancorp, Inc.","HIGHLANDS BANCORP, INC."
WBB,"Westbury Bancorp, Inc.","WESTBURY BANCORP, INC."
DIMC,"Dimeco, Inc.","DIMECO, INC."
KTYB,Kentucky Bancshares Inc.,KENTUCKY BANCSHARES INC.
FDBC,Fidelity D&D; Bancorp Inc.,FIDELITY D&D; BANCORP INC.
MGYR,"Magyar Bancorp, Inc.","MAGYAR BANCORP, INC."
ATLO,Ames National Corporation,AMES NATIONAL CORPORATION
TRCB,Two River Bancorp,TWO RIVER BANCORP
ENBN,Enterprise National Bank N.J.,ENTERPRISE NATIONAL BANK N.J.
HVB,Hudson Valley Holding Corp.,HUDSON VALLEY HOLDING CORP.
MBVT,Merchants Bancshares Inc.,MERCHANTS BANCSHARES INC.
FCF,First Commonwealth Financial Corp.,FIRST COMMONWEALTH FINANCIAL CORP.
PFIS,Peoples Financial Services Corp.,PEOPLES FINANCIAL SERVICES CORP.
EVBN,Evans Bancorp Inc.,EVANS BANCORP INC.
NPBC,National Penn Bancshares Inc.,NATIONAL PENN BANCSHARES INC.
SBBX,Sussex Bancorp,SUSSEX BANCORP
CIZN,Citizens Holding Company,CITIZENS HOLDING COMPANY
BOH,Bank of Hawaii Corporation,BANK OF HAWAII CORPORATION
UMPQ,Umpqua Holdings Corporation,UMPQUA HOLDINGS CORPORATION
BSCA,Bank of Santa Clarita,BANK OF SANTA CLARITA
PPBI,Pacific Premier Bancorp Inc.,PACIFIC PREMIER BANCORP INC.
FOLB,Folsom Lake Bank,FOLSOM LAKE BANK
OCBB,Orange County Business Bank,ORANGE COUNTY BUSINESS BANK
WAL,Western Alliance Bancorporation,WESTERN ALLIANCE BANCORPORATION
GBCI,"Glacier Bancorp, Inc.","GLACIER BANCORP, INC."
MVLY,Mission Valley Bancorp,MISSION VALLEY BANCORP
FCZA,First Citizens Banc Corp.,FIRST CITIZENS BANC CORP.
PBNK,Pinnacle Bank,PINNACLE BANK
FMBP,"First Mountain Bank (Big Bear Lake, CA)","FIRST MOUNTAIN BANK (BIG BEAR LAKE, CA)"
PCBK,Pacific Continental Corp.,PACIFIC CONTINENTAL CORP.
CWBC,Community West Bancshares,COMMUNITY WEST BANCSHARES
FFNW,"First Financial Northwest, Inc.","FIRST FINANCIAL NORTHWEST, INC."
ARBV,American Riviera Bank,AMERICAN RIVIERA BANK
PZBW,Plaza Bank,PLAZA BANK
ORBN,"Oregon Bancorp, Inc.","OREGON BANCORP, INC."
SCCB,Seacoast Commerce Bank,SEACOAST COMMERCE BANK
PFLC,Pacific Financial Corp.,PACIFIC FINANCIAL CORP.
CABB,California Business Bank,CALIFORNIA BUSINESS BANK
CFNB,California First National Bancorp,CALIFORNIA FIRST NATIONAL BANCORP
ZION,Zions Bancorporation,ZIONS BANCORPORATION
MBNC,Merchants Bancorp.,MERCHANTS BANCORP.
PLBC,Plumas Bancorp,PLUMAS BANCORP
AMRB,American River Bankshares,AMERICAN RIVER BANKSHARES
HFWA,Heritage Financial Corp.,HERITAGE FINANCIAL CORP.
FBAK,First National Bank Alaska,FIRST NATIONAL BANK ALASKA
HTBK,Heritage Commerce Corp.,HERITAGE COMMERCE CORP.
NBCT,"Northwest Bancorporation, Inc.","NORTHWEST BANCORPORATION, INC."
OVLY,Oak Valley Bancorp,OAK VALLEY BANCORP
SGBP,Syringa Bancorp.,SYRINGA BANCORP.
CCBC,Chino Commercial Bancorp,CHINO COMMERCIAL BANCORP
PMBC,Pacific Mercantile Bancorp,PACIFIC MERCANTILE BANCORP
CWBK,"Commerce West Bank, N.A.","COMMERCE WEST BANK, N.A."
WABC,Westamerica Bancorp.,WESTAMERICA BANCORP.
BSRR,Sierra Bancorp,SIERRA BANCORP
PVLY,Premier Valley Bank,PREMIER VALLEY BANK
PMRA,PROAM?RICA BANK,PROAM?RICA BANK
BBNK,Bridge Capital Holdings,BRIDGE CAPITAL HOLDINGS
SAGN,Saigon National Bank,SAIGON NATIONAL BANK
PFBC,Preferred Bank,PREFERRED BANK
MFBP,M&F; Bancorp Inc.,M&F; BANCORP INC.
FNBG,FNB Bancorp,FNB BANCORP
CUNB,CU Bancorp,CU BANCORP
PUGB,Puget Sound Bank,PUGET SOUND BANK
FIBK,First Interstate Bancsystem Inc.,FIRST INTERSTATE BANCSYSTEM INC.
BANC,"Banc of California, Inc.","BANC OF CALIFORNIA, INC."
LGHT,Lighthouse Bank Santa Cruz California,LIGHTHOUSE BANK SANTA CRUZ CALIFORNIA
SBAZ,State Bank Corp.,STATE BANK CORP.
UBFO,United Security Bancshares,UNITED SECURITY BANCSHARES
SNLS,San Luis Trust Bank FSB,SAN LUIS TRUST BANK FSB
PACW,PacWest Bancorp,PACWEST BANCORP
PVBK,Pacific Valley Bank,PACIFIC VALLEY BANK
FCTY,"1st Century Bancshares, Inc.","1ST CENTURY BANCSHARES, INC."
SDPB,San Diego Private Bank,SAN DIEGO PRIVATE BANK
TBNK,Territorial Bancorp Inc.,TERRITORIAL BANCORP INC.
NRIM,Northrim Bancorp Inc.,NORTHRIM BANCORP INC.
CABC,California Bank Of Commerce,CALIFORNIA BANK OF COMMERCE
RWCB,Redwood Capital Bancorp,REDWOOD CAPITAL BANCORP
CATY,Cathay General Bancorp,CATHAY GENERAL BANCORP
CACB,Cascade Bancorp,CASCADE BANCORP
FCSB,Focus Business Bank,FOCUS BUSINESS BANK
CVCY,Central Valley Community Bancorp,CENTRAL VALLEY COMMUNITY BANCORP
EXSR,"Exchange Bank (Santa Rosa, CA)","EXCHANGE BANK (SANTA ROSA, CA)"
UIFC,Uniti Financial Corp.,UNITI FINANCIAL CORP.
SSBI,Summit State Bank,SUMMIT STATE BANK
CTBP,Coast Bancorp,COAST BANCORP
EBMT,"Eagle Bancorp Montana, Inc.","EAGLE BANCORP MONTANA, INC."
FSBW,"FS Bancorp, Inc.","FS BANCORP, INC."
CHMG,Chemung Financial Corporation,CHEMUNG FINANCIAL CORPORATION
SIVB,SVB Financial Group,SVB FINANCIAL GROUP
FBBN,"Bank of Southern California, N.A.","BANK OF SOUTHERN CALIFORNIA, N.A."
OJCB,OCB Bancorp,OCB BANCORP
VCBC,Valley Community Bank,VALLEY COMMUNITY BANK
CPF,Central Pacific Financial Corp.,CENTRAL PACIFIC FINANCIAL CORP.
MCHB,Mechanics Bank,MECHANICS BANK
NCAL,NCAL Bancorp,NCAL BANCORP
HAFC,Hanmi Financial Corporation,HANMI FINANCIAL CORPORATION
BMRC,Bank of Marin Bancorp,BANK OF MARIN BANCORP
TCBK,TriCo Bancshares,TRICO BANCSHARES
SFGP,"Siuslaw Financial Group, Inc.","SIUSLAW FINANCIAL GROUP, INC."
NRLB,Northern California Bancorp Inc,NORTHERN CALIFORNIA BANCORP INC
VCBP,Valley Commerce Bancorp,VALLEY COMMERCE BANCORP
BNNP,Bank of Napa NA,BANK OF NAPA NA
FISB,1st Capital Bank,1ST CAPITAL BANK
CVBF,CVB Financial Corp.,CVB FINANCIAL CORP.
PFBI,Premier Financial Bancorp Inc.,PREMIER FINANCIAL BANCORP INC.
CTBI,Community Trust Bancorp Inc.,COMMUNITY TRUST BANCORP INC.
SSNF,"Sunshine Financial, Inc.","SUNSHINE FINANCIAL, INC."
FFKY,First Financial Service Corp.,FIRST FINANCIAL SERVICE CORP.
SYBT,"Stock Yards Bancorp, Inc.","STOCK YARDS BANCORP, INC."
BXS,"BancorpSouth, Inc.","BANCORPSOUTH, INC."
ACFC,Atlantic Coast Financial Corporation,ATLANTIC COAST FINANCIAL CORPORATION
IBTX,"Independent Bank Group, Inc.","INDEPENDENT BANK GROUP, INC."
FRNK,Franklin Financial Corporation,FRANKLIN FINANCIAL CORPORATION
FCB,"FCB Financial Holdings, Inc.","FCB FINANCIAL HOLDINGS, INC."
CFNL,Cardinal Financial Corp.,CARDINAL FINANCIAL CORP.
TRMK,Trustmark Corporation,TRUSTMARK CORPORATION
FBMS,First Bancshares Inc.,FIRST BANCSHARES INC.
BKYF,The Bank of Kentucky Financial Corporation,THE BANK OF KENTUCKY FINANCIAL CORPORATION
AFCB,Athens Bancshares Corporation,ATHENS BANCSHARES CORPORATION
UBAB,"United Bancorp. of Alabama, Inc.","UNITED BANCORP. OF ALABAMA, INC."
BBT,BB&T; Corporation,BB&T; CORPORATION
NBTF,NB&T; Financial Group Inc.,NB&T; FINANCIAL GROUP INC.
FFKT,Farmers Capital Bank Corporation,FARMERS CAPITAL BANK CORPORATION
FRCV,First Virginia Community Bank,FIRST VIRGINIA COMMUNITY BANK
MSL,Midsouth Bancorp Inc.,MIDSOUTH BANCORP INC.
CBF,Capital Bank Financial Corp.,CAPITAL BANK FINANCIAL CORP.
CZFC,Citizens First Corporation,CITIZENS FIRST CORPORATION
EVER,EverBank Financial Corp.,EVERBANK FINANCIAL CORP.
PNFP,Pinnacle Financial Partners Inc.,PINNACLE FINANCIAL PARTNERS INC.
HBKS,Heritage Bankshares Inc.,HERITAGE BANKSHARES INC.
FNB,F.N.B. Corporation,F.N.B. CORPORATION
FHN,First Horizon National Corporation,FIRST HORIZON NATIONAL CORPORATION
FABK,First Advantage Bancorp.,FIRST ADVANTAGE BANCORP.
AUBN,"Auburn National Bancorporation, Inc.","AUBURN NATIONAL BANCORPORATION, INC."
HBHC,Hancock Holding Company,HANCOCK HOLDING COMPANY
ENFC,Entegra Financial Corp.,ENTEGRA FINANCIAL CORP.
EVBS,Eastern Virginia Bankshares Inc.,EASTERN VIRGINIA BANKSHARES INC.
PSTB,Park Sterling Corporation,PARK STERLING CORPORATION
OZRK,"Bank of the Ozarks, Inc.","BANK OF THE OZARKS, INC."
IBKC,IberiaBank Corp.,IBERIABANK CORP.
PBIB,Porter Bancorp Inc.,PORTER BANCORP INC.
USBI,United Security Bancshares Inc.,UNITED SECURITY BANCSHARES INC.
SOCB,Southcoast Financial Corp.,SOUTHCOAST FINANCIAL CORP.
PLMT,Palmetto Bancshares Inc.,PALMETTO BANCSHARES INC.
FBSS,Fauquier Bankshares Inc.,FAUQUIER BANKSHARES INC.
RF,Regions Financial Corporation,REGIONS FINANCIAL CORPORATION
BNK,"C1 Financial, Inc.","C1 FINANCIAL, INC."
CSFL,"CenterState Banks, Inc.","CENTERSTATE BANKS, INC."
RBCAA,Republic Bancorp Inc.,REPUBLIC BANCORP INC.
SGBK,Stonegate Bank,STONEGATE BANK
GSBC,Great Southern Bancorp Inc.,GREAT SOUTHERN BANCORP INC.
FFIN,First Financial Bankshares Inc.,FIRST FINANCIAL BANKSHARES INC.
QCRH,QCR Holdings Inc.,QCR HOLDINGS INC.
UMBF,UMB Financial Corporation,UMB FINANCIAL CORPORATION
CSHB,Community Shores Bank Corp.,COMMUNITY SHORES BANK CORP.
FCCO,First Community Corporation,FIRST COMMUNITY CORPORATION
HTLF,"Heartland Financial USA, Inc.","HEARTLAND FINANCIAL USA, INC."
TBNC,"T Bancshares, Inc.","T BANCSHARES, INC."
OKSB,Southwest Bancorp Inc.,SOUTHWEST BANCORP INC.
TBK,"Triumph Bancorp, Inc.","TRIUMPH BANCORP, INC."
IBOC,International Bancshares Corporation,INTERNATIONAL BANCSHARES CORPORATION
WTBA,"West Bancorp., Inc.","WEST BANCORP., INC."
PB,Prosperity Bancshares Inc.,PROSPERITY BANCSHARES INC.
BANF,BancFirst Corporation,BANCFIRST CORPORATION
ISTR,Investar Holding Corporation,INVESTAR HOLDING CORPORATION
MFNC,Mackinac Financial Corporation,MACKINAC FINANCIAL CORPORATION
COBZ,CoBiz Financial Inc.,COBIZ FINANCIAL INC.
VBTX,"Veritex Holdings, Inc.","VERITEX HOLDINGS, INC."
MOFG,"MidWest One Financial Group, Inc.","MIDWEST ONE FINANCIAL GROUP, INC."
GFED,Guaranty Federal Bancshares Inc.,GUARANTY FEDERAL BANCSHARES INC.
TRVR,"Two Rivers Financial Group, Inc.","TWO RIVERS FINANCIAL GROUP, INC."
LARK,Landmark Bancorp Inc.,LANDMARK BANCORP INC.
ACNB,ACNB Corp.,ACNB CORP.
OABC,"Omniamerican Bancorp, Inc.","OMNIAMERICAN BANCORP, INC."
TYBT,"Trinity Bank, N.A.","TRINITY BANK, N.A."
CFR,"Cullen/Frost Bankers, Inc.","CULLEN/FROST BANKERS, INC."
BOKF,BOK Financial Corporation,BOK FINANCIAL CORPORATION
TCBI,Texas Capital BancShares Inc.,TEXAS CAPITAL BANCSHARES INC.
EFSC,Enterprise Financial Services Corp.,ENTERPRISE FINANCIAL SERVICES CORP.
SLRK,"Solera National Bancorp, Inc.","SOLERA NATIONAL BANCORP, INC."
ALK,"Alaska Air Group, Inc.","ALASKA AIR GROUP, INC."
